id,numero_item,descricao_item,grupo_itens,unidade_de_medida_de_estoque,ultimo_preco_avaliacao,ultimo_preco_compra,estoque_baixo,unidade_medida_estoque,data_registro
2,ADT000002,ADITIVO RADIADOR 325.5/6 A009892825 M. BENZ,04-ADITIVOS,,,73.69,,LITRO,2025-07-21 17:53:52.095246+00
3,ADT000003,ADITIVO RADIADOR CONCENTRADO A BASE DE AGUA 11715729 VOLVO,04-ADITIVOS,,,22.0,,LITRO,2025-07-21 17:53:52.095246+00
4,ADT000004,ADITIVO RADIADOR COOLANT 11 CONCENTRADO 1BZ1B074J,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
5,ADT000005,ADITIVO RADIADOR PARAFLU,04-ADITIVOS,,,38.0,,LITRO,2025-07-21 17:53:52.095246+00
6,ADT000006,ADITIVO HIDRAULICO RO-1U9891,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
7,ADT000007,ADITIVO RADIADOR TROPICAL CONCENTRADO,04-ADITIVOS,,,15.37,,LITRO,2025-07-21 17:53:52.095246+00
8,ADT000008,ADITIVO RADIADOR VCS VOLVO VO22567335,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
9,ADT000009,AGUA DE RADIADOR E BATERIA,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
10,ADT000010,ARLA 32,04-ADITIVOS,,,2.34,,LITRO,2025-07-21 17:53:52.095246+00
11,ADT000011,FLUIDO ARREFECIMENTO 12UN. 01L CX BRPRT20079,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
12,ADT000012,FLUIDO DE FREIO / DBL A0009890807 M.BENZ,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
13,ADT000013,FLUIDO DE FREIO 0882380021BR TOYOTA,04-ADITIVOS,,,55.35,,LITRO,2025-07-21 17:53:52.095246+00
14,ADT000014,FLUIDO DE FREIO NISSAN,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
15,ADT000015,FLUIDO DE FREIO DOT 5.1,04-ADITIVOS,,,27.0,,LITRO,2025-07-21 17:53:52.095246+00
16,ADT000016,FLUIDO DE FREIO DOT3,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
17,ADT000017,FLUIDO FREIO DOT 4 500ML - BOSCH,04-ADITIVOS,,,47.53,,LITRO,2025-07-21 17:53:52.095246+00
18,ADT000018,FLUIDO DE FREIO DOT4 500 ML,04-ADITIVOS,,,54.04,,UNIDADE,2025-07-21 17:53:52.095246+00
19,ADT000019,FLUIDO DE LIMPEZA AIR REPAIR 38140090,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
20,ADT000020,FLUIDO DE LIMPEZA R11,04-ADITIVOS,,,,,LITRO,2025-07-21 17:53:52.095246+00
21,ADT000021,FLUIDO REFRIGERANTE R-134A ONU3159,04-ADITIVOS,,,350.0,,LITRO,2025-07-21 17:53:52.095246+00
